Date,Time,Lat,Lon,Wind (knots),Pressure
20210919,0, 16.4N,  52.7W,30,1007
20210919,600, 16.8N,  54.4W,35,1006
20210919,1200, 17.3N,  55.8W,40,1006
20210919,1800, 17.9N,  57.0W,45,1005
20210920,0, 18.4N,  58.0W,45,1005
20210920,600, 18.8N,  59.0W,45,1005
20210920,1200, 19.2N,  60.1W,45,1006
20210920,1800, 19.5N,  61.2W,45,1007
20210921,0, 19.6N,  62.3W,45,1007
20210921,600, 19.6N,  63.2W,40,1007
20210921,1200, 19.8N,  64.0W,35,1008
20210921,1800, 20.2N,  64.6W,30,1008
20210922,0, 20.6N,  65.2W,30,1008
20210922,600, 21.0N,  65.8W,30,1008
20210922,1200, 21.4N,  66.4W,30,1008
20210922,1800, 21.7N,  66.9W,30,1008
