Date,Time,Lat,Lon,Wind (knots),Pressure
20210919,0, 10.4N,  27.4W,30,1008
20210919,600, 11.3N,  27.8W,30,1008
20210919,1200, 12.6N,  28.4W,30,1008
20210919,1800, 13.8N,  29.4W,35,1007
20210920,0, 14.7N,  30.6W,35,1007
20210920,600, 15.6N,  31.8W,35,1007
20210920,1200, 16.7N,  32.9W,35,1007
20210920,1800, 17.7N,  34.1W,40,1006
20210921,0, 18.8N,  35.3W,50,1004
20210921,600, 20.0N,  36.1W,40,1006
20210921,1200, 21.1N,  36.7W,35,1007
20210921,1800, 22.1N,  37.3W,35,1007
20210922,0, 22.7N,  37.7W,35,1008
20210922,600, 23.1N,  38.1W,30,1009
20210922,1200, 23.4N,  38.8W,30,1009
20210922,1800, 23.8N,  39.7W,30,1010
20210923,0, 24.2N,  40.6W,30,1010
20210923,600, 25.0N,  41.4W,30,1010
20210923,1200, 26.0N,  41.9W,25,1010
20210923,1800, 27.0N,  42.0W,25,1010
20210924,0, 27.8N,  42.0W,25,1010
20210924,600, 28.3N,  41.7W,25,1010
