Date,Time,Lat,Lon,Wind (knots),Pressure
20210922,1800, 10.0N,  33.1W,30,1008
20210923,0, 10.2N,  34.4W,30,1008
20210923,600, 10.4N,  36.0W,35,1006
20210923,1200, 10.7N,  37.6W,45,1003
20210923,1800, 10.9N,  39.0W,50,1000
20210924,0, 11.1N,  40.3W,60,997
20210924,600, 11.4N,  41.6W,65,993
20210924,1200, 11.6N,  43.0W,65,993
20210924,1800, 11.9N,  44.3W,70,989
20210925,0, 12.3N,  45.4W,85,982
20210925,600, 12.6N,  46.3W,95,973
20210925,1200, 12.8N,  47.2W,105,960
20210925,1800, 13.1N,  48.1W,115,950
20210926,0, 13.4N,  48.8W,130,943
20210926,600, 13.6N,  49.4W,130,943
20210926,1200, 13.8N,  50.0W,130,939
20210926,1800, 14.1N,  50.3W,135,927
20210927,0, 14.5N,  50.6W,130,940
20210927,600, 15.0N,  51.1W,115,948
20210927,1200, 15.4N,  51.7W,105,955
20210927,1800, 15.9N,  52.3W,105,958
20210928,0, 16.5N,  52.9W,105,955
20210928,600, 16.9N,  53.5W,115,952
20210928,1200, 17.3N,  54.1W,115,952
20210928,1800, 17.7N,  54.7W,115,947
20210929,0, 18.1N,  55.3W,115,947
20210929,600, 18.6N,  55.9W,115,952
20210929,1200, 19.1N,  56.6W,115,952
20210929,1800, 19.7N,  57.3W,115,945
20210930,0, 20.3N,  58.0W,125,940
20210930,600, 21.0N,  58.8W,125,937
20210930,1200, 22.0N,  59.6W,125,937
20210930,1800, 23.0N,  60.4W,125,941
20211001,0, 24.3N,  61.0W,125,938
20211001,600, 25.8N,  61.6W,130,936
20211001,1200, 27.4N,  61.9W,130,936
20211001,1800, 29.2N,  61.9W,130,937
20211002,0, 30.8N,  61.5W,125,940
20211002,600, 32.1N,  61.0W,120,945
20211002,1200, 33.4N,  60.1W,115,948
20211002,1800, 34.7N,  59.1W,110,950
20211003,0, 35.8N,  57.9W,100,954
20211003,600, 36.7N,  56.6W,90,960
20211003,1200, 37.3N,  55.4W,85,964
20211003,1800, 38.0N,  53.9W,85,964
20211004,0, 38.7N,  52.2W,90,957
20211004,600, 39.9N,  49.9W,90,957
20211004,1200, 41.4N,  47.1W,85,960
20211004,1800, 43.8N,  43.6W,80,965
20211005,0, 46.5N,  40.5W,75,965
20211005,600, 49.4N,  39.7W,70,965
20211005,1200, 52.2N,  39.6W,65,966
20211005,1800, 50.6N,  42.1W,65,966
20211006,0, 49.9N,  38.9W,60,967
20211006,600, 50.5N,  35.5W,55,968
20211006,1200, 51.5N,  32.4W,50,969
20211006,1800, 53.1N,  29.0W,45,971
20211007,0, 55.2N,  25.4W,45,973
20211007,600, 58.1N,  22.3W,40,976
