Date,Time,Lat,Lon,Wind (knots),Pressure
20211025,1800, 43.2N,  29.7W,40,1006
20211026,0, 40.9N,  32.8W,40,1006
20211026,600, 39.2N,  34.9W,35,1006
20211026,1200, 38.1N,  36.4W,35,1004
20211026,1800, 37.4N,  37.4W,35,1003
20211027,0, 37.1N,  38.0W,35,1002
20211027,600, 37.2N,  38.4W,40,1001
20211027,1200, 37.6N,  38.3W,45,1000
20211027,1800, 38.4N,  38.0W,45,999
20211028,0, 39.6N,  37.5W,45,996
20211028,600, 41.1N,  37.8W,45,993
20211028,1200, 42.0N,  38.3W,45,992
20211028,1800, 42.3N,  39.0W,45,992
20211029,0, 42.1N,  39.6W,40,994
20211029,600, 41.7N,  39.7W,40,994
20211029,1200, 41.0N,  39.7W,45,992
20211029,1800, 40.2N,  39.7W,45,992
20211030,0, 39.3N,  39.7W,45,992
20211030,600, 38.4N,  39.9W,40,994
20211030,1200, 37.6N,  40.2W,40,995
20211030,1800, 36.9N,  40.4W,40,996
20211031,0, 36.2N,  40.5W,40,996
20211031,600, 35.5N,  40.7W,40,996
20211031,1200, 34.9N,  41.3W,40,996
20211031,1800, 34.4N,  41.9W,35,997
20211101,0, 34.1N,  42.6W,35,997
20211101,600, 34.1N,  43.4W,40,993
20211101,1200, 34.8N,  44.2W,40,991
20211101,1800, 35.8N,  44.0W,45,989
20211102,0, 36.4N,  43.5W,50,985
20211102,600, 36.5N,  43.4W,50,983
20211102,1200, 36.6N,  44.2W,50,985
20211102,1800, 36.5N,  46.0W,45,987
20211103,0, 37.5N,  47.8W,40,988
20211103,600, 38.5N,  49.6W,40,986
20211103,1200, 39.4N,  51.2W,40,984
20211103,1800, 40.1N,  52.4W,45,982
20211104,0, 40.4N,  54.0W,45,981
20211104,600, 40.6N,  55.5W,45,981
20211104,1200, 40.7N,  56.8W,45,982
20211104,1800, 40.6N,  58.1W,45,982
20211105,0, 40.2N,  59.8W,45,982
20211105,600, 39.8N,  61.9W,45,982
20211105,1200, 39.4N,  63.9W,45,982
20211105,1800, 39.0N,  65.9W,45,981
20211106,0, 38.7N,  68.5W,50,980
20211106,600, 39.9N,  70.1W,55,976
20211106,1200, 41.4N,  69.4W,60,973
20211106,1800, 40.8N,  67.6W,60,979
20211107,0, 39.5N,  68.2W,55,984
20211107,600, 37.7N,  69.1W,50,992
20211107,1200, 35.9N,  71.3W,45,996
20211107,1800, 34.2N,  74.1W,45,1002
20211108,0, 32.5N,  76.3W,35,1006
